수도권 구분,시군구,구분,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 남해군,노인인구 비율,20.923,22.023,23.359,24.667,25.831,27.029,28.27,27.263,29.415,29.862,30.376,30.355,31.744,32.499,33.4,33.978,34.771,35.476,36.167,36.649,37.846,38.915,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 남해군,전체 인구,"59,762","57,916","55,958","54,392","53,129","51,825","50,792","55,026","50,698","50,244","49,328","50,242","48,223","47,244","46,638","45,865","45,129","44,642","43,990","43,622","42,958","42,266",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 밀양시,노인인구 비율,12.739,13.371,14.228,14.924,15.73,16.363,17.165,18.099,18.704,19.245,19.625,20.139,20.892,21.715,22.422,22.981,23.636,24.763,25.82,27.047,28.51,29.95,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 밀양시,전체 인구,"124,574","122,999","120,342","117,732","115,459","113,636","112,025","111,473","110,858","110,170","110,479","109,329","108,755","108,342","107,765","107,896","108,354","107,898","106,744","105,552","104,831","103,525",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 사천시,노인인구 비율,10.588,11.137,11.802,12.371,13.06,13.721,14.115,14.692,15.023,15.469,15.685,16.089,16.497,16.892,17.536,18.102,18.712,19.359,19.88,20.932,22.145,23.134,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 사천시,전체 인구,"119,326","119,305","117,076","114,556","112,670","111,293","112,300","112,499","112,828","112,724","114,148","114,133","115,321","116,851","116,485","115,452","114,912","114,252","113,888","111,925","111,105","109,953",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 산청군,노인인구 비율,18.799,19.988,21.557,23.066,24.459,25.486,26.725,28.182,28.776,29.449,29.311,29.674,30.383,30.764,31.504,31.998,32.24,32.79,33.631,35.136,36.816,38.344,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 산청군,전체 인구,"40,997","39,863","38,726","37,783","36,849","36,294","35,704","35,274","35,043","34,921","35,591","35,651","35,691","35,935","35,849","36,071","36,098","36,340","35,952","35,417","34,857","34,360",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 양산시,노인인구 비율,5.58,5.841,6.124,6.458,6.838,7.144,7.516,7.914,8.217,8.476,8.759,9.104,9.575,9.989,10.338,10.749,11.081,11.497,11.95,12.724,13.768,14.653,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 양산시,전체 인구,"193,552","200,694","205,958","210,424","213,695","222,299","226,425","231,956","243,012","250,387","260,239","266,403","270,460","279,565","292,376","301,291","317,037","338,535","348,639","350,759","352,229","354,726",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 의령군,노인인구 비율,20.838,22.27,23.731,24.675,25.73,27.38,27.965,28.999,29.742,30.119,30.393,30.534,30.578,31.523,32.206,33.11,33.617,34.579,34.641,35.663,37.019,38.424,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 의령군,전체 인구,"34,490","33,494","32,751","32,766","32,371","31,099","31,625","31,418","30,734","30,496","30,162","30,045","30,329","29,417","29,209","28,544","28,111","27,849","27,667","27,168","26,800","26,322",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 진주시,노인인구 비율,7.471,7.847,8.238,8.634,9.052,9.542,10.024,10.562,10.944,11.34,11.622,12.011,12.509,13.058,13.519,13.883,14.223,14.852,15.394,16.094,16.959,17.752,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 진주시,전체 인구,"341,822","339,906","339,943","337,319","337,425","336,234","333,554","330,756","331,222","331,720","335,037","335,502","337,314","337,071","340,241","344,426","346,739","346,681","345,987","347,334","348,096","347,097",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 창녕군,노인인구 비율,15.93,16.773,17.85,18.99,19.947,20.884,21.947,23.1,23.786,24.391,24.609,24.74,25.126,25.541,26.083,26.4,26.803,27.65,28.447,29.562,31.166,32.597,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 창녕군,전체 인구,"73,019","71,047","69,220","67,313","66,074","64,672","63,476","62,255","61,603","61,252","61,714","62,490","62,966","63,447","63,502","63,817","63,982","64,101","63,396","62,331","61,301","60,129",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 창원시,노인인구 비율,5.095,5.337,5.605,5.870,6.194,6.495,6.842,7.236,7.541,7.858,8.09,8.386,8.814,9.372,9.955,10.448,11.017,11.814,12.492,13.415,14.556,15.543,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 창원시,전체 인구,"1,086,209","1,091,863","1,087,686","1,090,359","1,085,802","1,086,530","1,086,839","1,082,843","1,083,292","1,080,441","1,090,181","1,091,881","1,091,471","1,083,731","1,075,168","1,070,064","1,063,907","1,057,032","1,053,601","1,044,740","1,036,738","1,032,741",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 통영시,노인인구 비율,8.374,8.797,9.204,9.514,9.881,10.292,10.768,11.232,11.495,11.808,11.871,12.16,12.754,13.373,14.028,14.476,15.124,16.236,17.083,18.184,19.593,21.078,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 통영시,전체 인구,"136,864","135,547","134,107","133,420","132,959","132,795","133,127","134,431","136,275","137,415","140,297","140,195","139,347","139,719","139,439","139,168","138,160","135,833","133,720","131,404","128,293","125,383",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 하동군,노인인구 비율,17.221,17.818,19.416,19.683,21.322,22.499,23.311,23.326,24.431,25.47,25.945,25.28,27.034,27.895,28.791,28.666,29.249,30.147,31.239,32.464,34.587,36.321,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 하동군,전체 인구,"59,556","60,298","56,777","58,010","54,881","53,131","52,898","55,526","53,515","52,010","51,509","53,975","50,806","50,177","49,223","50,259","49,622","48,831","47,533","46,574","44,785","43,449",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 함안군,노인인구 비율,13.885,14.369,15.182,15.863,16.623,17.42,17.482,17.714,17.791,18.121,18.2,18.469,18.799,19.231,19.427,19.881,20.256,21.175,22.119,23.37,25.063,26.762,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 함안군,전체 인구,"64,846","65,368","64,318","63,435","62,081","61,376","63,460","64,865","66,050","66,582","67,207","66,971","67,425","67,667","68,741","69,156","68,937","68,207","67,025","65,700","64,182","62,547",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 함양군,노인인구 비율,18.121,19.237,20.549,21.845,23.248,24.16,25.2,26.505,27.129,27.48,27.485,27.76,28.55,28.974,29.541,30.152,30.501,31.258,31.515,32.384,33.846,35.223,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 함양군,전체 인구,"46,376","45,184","43,982","42,760","41,922","41,535","41,162","40,637","40,447","40,626","41,197","41,081","40,714","40,692","40,584","40,339","40,241","40,175","40,044","39,637","39,080","38,310",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 합천군,노인인구 비율,19.407,20.678,22.13,22.553,24.292,25.016,27.029,27.843,28.347,29.979,31.224,31.722,32.467,32.859,33.264,34.364,35.339,36.54,37.216,38.147,39.611,40.969,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 합천군,전체 인구,"61,255","59,599","57,649","60,160","57,909","58,162","55,104","55,450","55,677","52,973","51,092","50,608","50,279","50,290","50,457","49,145","48,026","47,000","45,916","45,204","44,006","42,935",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 경산시,노인인구 비율,7.525,7.881,8.26,8.81,9.249,9.509,9.882,10.446,10.905,11.424,11.569,11.762,12.202,12.752,13.197,13.626,14.097,14.787,15.345,15.988,16.903,17.669,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 경산시,전체 인구,"213,821","215,995","218,446","216,240","219,579","227,766","234,839","236,881","237,423","236,459","240,708","243,684","246,358","248,805","253,968","256,888","258,037","259,485","261,093","263,185","263,728","268,369",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 경주시,노인인구 비율,10.011,10.541,11.077,11.628,12.214,12.773,13.257,14.019,14.587,15.031,15.398,15.695,16.281,16.902,17.634,18.221,18.805,19.69,20.44,21.393,22.609,23.679,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 경주시,전체 인구,"290,149","287,506","284,589","281,177","277,870","275,087","273,419","272,206","269,343","267,466","267,098","265,488","264,091","263,283","261,535","259,773","259,452","257,903","256,864","255,402","253,502","251,889",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 고령군,노인인구 비율,15.724,16.605,17.519,18.505,19.622,20.285,20.732,21.377,22.016,22.655,22.622,22.431,23.02,23.751,24.368,25.198,25.948,27.402,28.451,29.803,31.699,33.191,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 고령군,전체 인구,"37,587","36,796","35,978","34,942","34,522","34,271","34,777","34,907","34,770","34,535","34,678","35,455","35,343","35,198","35,033","34,594","34,257","33,768","32,969","32,373","31,361","30,626",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 구미시,노인인구 비율,4.832,4.949,5.056,5.234,5.38,5.436,5.492,5.758,5.981,6.153,6.187,6.201,6.421,6.685,6.932,7.204,7.515,7.967,8.406,8.944,9.607,10.319,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 구미시,전체 인구,"336,914","344,159","350,011","355,629","365,681","374,614","386,465","391,897","393,959","396,419","404,920","413,446","416,949","419,428","420,320","419,915","419,891","421,799","421,494","419,742","416,328","412,581",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 군위군,노인인구 비율,19.334,19.618,21.466,23.473,24.958,26.453,27.721,29.595,30.562,31.415,31.816,32.273,33.219,33.816,34.679,35.277,35.869,36.746,37.556,38.485,40.682,42.358,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 군위군,전체 인구,"32,637","34,055","31,654","29,762","28,825","27,709","26,687","25,781","25,309","24,966","24,736","24,268","24,119","24,172","24,170","24,126","24,171","24,215","23,919","23,843","23,256","22,945",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 김천시,노인인구 비율,12.133,12.684,13.425,13.696,14.719,15.314,15.943,16.624,17.223,17.852,18.028,18.283,18.895,19.507,20.029,19.866,20.026,20.668,21.486,22.129,23.138,24.008,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 김천시,전체 인구,"149,864","150,858","146,666","150,306","143,527","141,632","139,682","139,084","138,056","135,918","136,136","136,185","135,504","135,259","135,456","140,132","142,256","142,908","141,104","141,229","140,548","140,239",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 문경시,노인인구 비율,13.853,14.622,15.946,17.048,18.065,19.026,19.948,21.201,21.674,21.744,21.912,22.372,23.177,23.809,24.334,24.934,25.816,27.12,28.277,28.918,30.25,31.392,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 문경시,전체 인구,"89,900","89,091","83,749","81,258","79,552","78,058","76,177","74,780","75,486","76,645","77,391","76,727","75,899","75,664","75,911","75,784","74,702","73,294","71,874","72,242","71,406","71,154",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 봉화군,노인인구 비율,17.592,18.818,20.18,21.187,22.869,23.982,25.376,26.745,27.608,28.387,28.351,28.477,29.384,30.064,30.641,31.209,31.921,32.911,33.614,34.905,36.728,38.284,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 봉화군,전체 인구,"42,865","41,364","39,852","39,439","37,526","36,599","35,608","35,046","34,628","34,297","34,567","34,192","33,934","33,894","34,023","33,808","33,539","33,259","32,843","32,150","31,494","30,762",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 상주시,노인인구 비율,16.01,16.78,17.725,18.669,19.782,20.62,21.518,22.689,23.31,23.564,23.744,24.098,24.863,25.573,26.343,26.924,27.278,28.267,29.014,29.618,31.341,32.574,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 상주시,전체 인구,"124,674","122,047","118,999","115,337","112,585","110,444","108,280","106,600","105,381","106,208","105,607","104,685","104,182","103,346","102,892","102,374","101,799","100,947","100,297","100,688","97,228","95,566",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 성주군,노인인구 비율,16.568,17.336,17.646,18.923,19.845,20.782,21.5,22.542,23.301,23.391,23.536,23.508,24.396,25.227,26.004,26.678,27.426,28.444,29.419,30.619,32.181,33.642,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 성주군,전체 인구,"51,104","50,380","51,761","48,655","47,731","46,960","46,358","45,680","45,024","45,616","45,289","45,640","45,127","45,067","44,981","45,029","45,205","45,138","44,672","44,015","43,414","42,842",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 안동시,노인인구 비율,12.193,12.685,13.213,13.874,14.628,15.245,16.019,16.958,17.519,17.908,18.05,18.273,18.732,19.327,19.774,20.065,20.541,21.62,22.722,23.684,24.664,25.694,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 안동시,전체 인구,"183,903","181,838","179,326","175,677","174,037","171,387","168,733","167,916","167,300","167,432","167,886","168,157","168,302","168,461","168,697","169,221","168,798","166,272","162,180","160,052","158,907","156,972",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 영덕군,노인인구 비율,17.443,18.644,18.364,20.79,22.166,23.365,23.618,26.138,27.438,28.49,28.944,29.487,30.271,30.938,31.928,32.515,33.025,34.107,34.867,36.022,37.865,39.2,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 영덕군,전체 인구,"51,131","49,593","52,602","46,965","45,826","45,003","46,460","43,470","42,707","41,710","41,377","40,794","40,257","40,142","39,586","39,191","39,052","38,529","38,108","37,361","36,313","35,314",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 영양군,노인인구 비율,18.136,19.543,20.935,22.333,24.019,24.929,26.276,28.208,29.106,29.855,30.437,30.711,30.915,31.41,32.066,32.585,33.185,34.115,35.054,36.003,37.611,38.664,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 영양군,전체 인구,"22,805","22,172","21,385","20,772","20,205","20,025","19,615","19,119","18,766","18,553","18,451","18,241","18,208","18,297","18,197","17,898","17,713","17,479","17,356","16,993","16,692","16,320",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 영주시,노인인구 비율,11.691,12.351,13.001,13.681,14.584,15.313,16.109,17.117,17.889,18.467,18.647,18.819,19.432,20.235,21.216,21.944,22.497,23.568,24.664,25.944,27.295,28.349,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 영주시,전체 인구,"131,175","128,707","126,040","123,806","121,513","119,098","116,965","115,083","113,930","113,309","113,926","114,148","113,547","112,625","110,780","109,735","109,247","108,371","106,801","105,067","103,119","101,942",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 영천시,노인인구 비율,13.041,13.8,14.628,15.534,16.57,17.408,18.408,19.491,20.205,20.842,21.063,21.052,22.051,22.967,23.706,24.237,24.933,25.781,26.423,27.005,28.301,29.375,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 영천시,전체 인구,"119,639","117,991","115,401","112,423","109,520","107,337","105,029","105,819","104,022","103,115","103,190","104,182","101,798","100,778","100,689","100,648","100,521","100,615","101,595","102,470","102,015","101,888",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 예천군,노인인구 비율,18.781,19.951,21.271,22.612,24.121,25.181,26.23,27.929,28.898,29.504,29.686,29.9,30.684,31.543,32.467,33.113,32.585,31.385,29.801,29.744,30.288,30.923,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 예천군,전체 인구,"59,885","58,081","55,746","53,649","52,132","50,951","50,218","48,866","47,993","47,306","47,049","46,579","46,027","45,573","45,104","44,674","46,166","49,253","53,274","55,100","55,613","55,739",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 울릉군,노인인구 비율,13.192,14.079,14.717,15.922,16.701,16.859,16.551,17.363,17.388,17.53,17.821,18.2,18.87,19.479,19.914,20.723,21.538,22.436,23.291,24.342,26.286,26.954,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 울릉군,전체 인구,"10,241","9,944","9,615","9,245","9,191","9,538","10,235","10,125","10,168","10,325","10,701","10,742","10,673","10,524","10,264","10,153","10,001","9,975","9,832","9,617","9,077","8,867",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 울진군,노인인구 비율,14.59,15.258,16.249,17.294,18.614,19.567,20.493,21.523,22.39,22.907,23.088,23.389,23.567,23.958,24.169,24.389,24.479,25.217,26.127,27.084,28.005,29.28,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 울진군,전체 인구,"66,298","65,688","63,511","61,031","58,590","56,707","55,076","53,955","53,042","52,529","52,430","52,045","51,844","51,953","52,104","51,885","51,738","50,974","50,036","49,314","48,716","47,858",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 의성군,노인인구 비율,19.675,20.887,22.336,23.613,25.24,26.368,27.45,29.285,30.616,31.447,31.709,32.26,33.247,34.302,35.268,36.076,36.835,37.942,38.852,39.937,41.524,43.176,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 의성군,전체 인구,"76,327","73,872","70,863","68,372","66,124","64,457","62,947","61,366","60,033","59,109","58,832","57,744","57,043","56,064","55,212","54,477","54,014","53,474","52,944","52,595","51,724","50,632",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 청도군,노인인구 비율,18.908,20.014,20.942,21.801,23.384,24.429,25.316,26.714,27.555,28.038,28.015,28.22,29.105,30.074,30.948,31.788,32.766,34.095,35.237,36.218,37.922,39.254,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 청도군,전체 인구,"52,497","51,268","50,716","50,141","47,678","46,748","46,144","45,515","44,711","44,279","44,391","44,298","43,968","43,788","43,993","43,724","43,564","43,346","43,057","42,910","42,263","41,891",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 청송군,노인인구 비율,16.781,17.949,19.116,20.132,21.818,23.155,24.458,26.125,27.179,28.395,28.969,29.305,30.123,30.888,31.471,31.966,32.698,33.735,34.882,35.942,37.462,38.836,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 청송군,전체 인구,"34,248","33,517","32,323","31,313","30,099","29,298","28,465","27,862","27,289","26,917","26,715","26,569","26,481","26,470","26,453","26,384","26,301","26,006","25,678","25,416","25,044","24,539",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 칠곡군,노인인구 비율,8.673,8.943,9.218,9.593,10.006,10.246,10.348,10.677,10.871,11.031,11.225,11.353,11.616,11.862,12.142,12.375,12.564,13.375,14.047,14.941,15.977,16.869,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 칠곡군,전체 인구,"103,537","104,743","105,844","105,843","106,475","107,750","111,390","113,851","116,472","117,288","119,087","118,838","119,786","121,182","122,058","122,829","123,199","120,864","118,828","117,047","114,758","113,822",,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 포항시,노인인구 비율,6.205,6.5,6.836,7.189,7.618,7.977,8.388,8.912,9.329,9.693,9.913,10.18,10.715,11.309,11.96,12.551,13.216,14.198,15.102,16.173,17.49,18.552,,,,,,,,,,,,,,,,,,,,,
비수도권,경상북도 포항시,전체 인구,"515,977","515,039","511,667","508,850","507,129","507,052","505,008","505,555","508,119","509,475","514,755","517,088","518,913","519,467","519,368","519,584","516,775","513,832","510,013","507,025","502,916","503,852",,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 광산구,노인인구 비율,5.275,5.311,5.426,5.587,5.738,5.85,6.105,6.458,6.619,6.603,6.646,6.791,7.019,7.213,7.512,7.749,7.956,8.305,8.63,9.002,9.482,9.9,,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 광산구,전체 인구,"252,902","263,032","275,301","286,982","296,101","306,989","311,621","316,101","320,660","342,936","363,239","375,509","385,101","392,875","397,281","400,753","403,049","404,131","404,547","405,315","405,579","404,221",,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 남구,노인인구 비율,6.331,6.689,7.046,7.424,7.924,8.409,9.048,9.81,10.074,10.55,10.972,11.439,12.163,12.846,13.462,13.971,14.647,15.439,16.027,16.584,17.576,18.139,,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 남구,전체 인구,"231,501","226,143","221,357","216,102","213,321","214,524","211,744","209,024","213,073","213,697","216,863","219,041","218,313","216,254","219,815","221,318","219,729","218,454","216,369","218,060","214,579","215,575",,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 동구,노인인구 비율,8.155,8.74,9.28,9.82,10.243,11.012,11.752,12.641,13.377,14.2,15.081,15.857,16.819,17.761,18.771,19.578,20.266,21.003,21.526,21.441,21.571,21.887,,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 동구,전체 인구,"123,647","119,182","117,225","116,486","117,733","114,480","114,086","115,066","109,963","107,772","104,449","106,495","105,580","103,016","100,786","98,784","95,791","95,448","94,475","98,585","102,897","103,470",,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 북구,노인인구 비율,5.115,5.348,5.612,5.987,6.389,6.74,7.135,7.665,7.937,8.338,8.754,9.289,9.939,10.474,10.986,11.543,12.174,12.884,13.369,14.173,15.061,15.821,,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 북구,전체 인구,"475,992","474,409","471,364","462,384","458,030","454,241","460,985","466,181","474,121","469,410","466,866","444,483","443,677","445,489","447,685","446,316","441,066","438,780","439,773","433,533","430,431","427,114",,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 서구,노인인구 비율,5.175,5.312,5.508,5.807,6.137,6.475,6.891,7.368,7.683,8.155,8.541,8.706,9.255,9.769,10.404,11.001,11.375,12.051,12.647,13.372,14.32,15.091,,,,,,,,,,,,,,,,,,,,,
비수도권,광주광역시 서구,전체 인구,"287,867","300,999","312,205","313,808","315,987","311,511","309,362","307,072","304,885","299,825","303,219","317,936","316,545","315,276","310,317","305,028","309,579","306,957","304,172","300,975","296,576","291,231",,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 남구,노인인구 비율,7.671,8.166,8.656,9.133,9.919,10.518,11.099,12.03,12.784,13.525,14.06,14.586,15.338,16.384,17.391,18.232,19.161,20.368,21.367,22.272,23.315,24.176,,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 남구,전체 인구,"196,286","192,629","189,725","185,566","181,381","180,011","180,481","178,530","175,317","171,873","171,197","169,095","168,715","166,062","163,492","160,852","156,433","152,845","150,501","148,113","146,632","143,175",,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 달서구,노인인구 비율,4.534,4.771,5.042,5.317,5.677,5.974,6.359,6.788,7.15,7.437,7.646,7.948,8.433,8.929,9.494,10.001,10.64,11.596,12.379,13.32,14.436,15.557,,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 달서구,전체 인구,"588,546","599,664","605,433","603,949","601,467","595,860","589,041","591,169","594,616","598,011","607,083","606,542","606,557","610,358","606,433","602,641","591,891","578,068","573,413","568,887","558,631","544,926",,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 달성군,노인인구 비율,7.076,7.365,7.745,8.061,8.511,8.789,9.237,9.676,9.605,9.704,9.901,10.087,10.323,10.792,11.229,11.531,11.094,11.073,11.482,11.912,12.759,13.538,,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 달성군,전체 인구,"154,281","156,100","155,601","157,554","155,905","158,353","158,314","160,443","171,001","176,135","178,899","180,351","184,366","184,358","184,902","192,747","218,268","243,375","250,543","256,540","259,339","262,451",,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 동구,노인인구 비율,6.695,7.159,7.643,8.075,8.623,9.156,9.89,10.717,11.462,12.003,12.34,12.709,13.425,14.179,14.748,15.301,15.872,16.856,17.551,18.53,19.724,20.633,,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 동구,전체 인구,"338,052","336,272","333,134","339,511","344,328","344,082","337,902","336,049","330,996","331,421","337,529","341,206","342,092","343,802","347,975","349,728","351,352","349,379","351,291","345,469","341,920","341,436",,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 북구,노인인구 비율,5.181,5.438,5.642,5.931,6.252,6.614,7.008,7.595,7.998,8.409,8.683,8.981,9.482,10.067,10.615,11.087,11.616,12.293,12.945,13.735,14.549,15.386,,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 북구,전체 인구,"409,353","414,305","435,209","446,318","459,741","464,559","468,030","463,056","461,518","453,367","452,505","449,775","448,485","444,359","444,375","443,119","440,383","441,375","439,489","437,710","440,263","437,008",,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 서구,노인인구 비율,5.36,5.733,6.146,6.615,7.211,7.766,8.403,9.286,10.078,10.751,11.293,11.732,12.565,13.532,14.569,15.465,16.56,18.104,19.429,20.968,22.605,24.055,,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 서구,전체 인구,"286,197","280,075","272,752","264,699","258,098","251,004","243,560","237,757","228,720","225,193","224,618","222,619","220,211","215,399","210,770","206,028","199,507","191,992","184,372","175,277","170,700","164,528",,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 수성구,노인인구 비율,6.227,6.549,6.906,7.256,7.708,8.034,8.367,8.801,9.192,9.515,9.739,10.033,10.569,11.055,11.571,12.084,12.624,13.412,14.116,14.809,15.687,16.587,,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 수성구,전체 인구,"459,658","456,487","446,879","448,430","443,881","437,356","440,172","447,164","451,732","456,196","461,988","461,083","459,779","461,004","456,505","451,786","447,011","439,211","432,759","428,614","424,314","417,097",,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 중구,노인인구 비율,9.342,9.909,10.543,11.278,11.996,12.625,13.398,14.207,14.871,15.502,16.163,16.765,17.724,18.431,18.709,18.782,19.248,19.663,19.604,20.146,20.808,20.986,,,,,,,,,,,,,,,,,,,,,
비수도권,대구광역시 중구,전체 인구,"91,880","89,577","87,070","83,517","79,911","80,081","78,615","79,093","78,824","77,585","77,857","76,600","75,439","76,246","78,812","80,928","79,712","78,986","79,401","77,421","76,547","74,791",,,,,,,,,,,,,,,,,,,,,
비수도권,대전광역시 대덕구,노인인구 비율,4.549,4.795,5.085,5.405,5.77,6.099,6.578,7.245,7.653,8.083,8.425,8.855,9.337,9.887,10.463,11.125,11.824,12.751,13.625,14.709,15.8,16.849,,,,,,,,,,,,,,,,,,,,,
비수도권,대전광역시 대덕구,전체 인구,"231,377","230,939","229,926","229,208","226,947","223,287","217,332","213,275","211,241","208,147","207,549","205,339","205,688","204,360","201,558","196,839","192,688","186,902","181,991","177,031","176,384","175,046",,,,,,,,,,,,,,,,,,,,,
비수도권,대전광역시 동구,노인인구 비율,6.724,7.204,7.673,8.053,8.569,9.109,9.552,10.147,10.576,11.025,11.421,11.746,12.311,12.905,13.712,14.61,15.221,16.155,16.879,17.913,19.071,19.871,,,,,,,,,,,,,,,,,,,,,
비수도권,대전광역시 동구,전체 인구,"252,684","246,824","240,487","240,212","238,532","234,724","236,504","244,496","245,973","246,116","248,835","251,285","251,945","250,653","245,493","239,579","234,959","230,516","229,071","226,771","223,021","222,222",,,,,,,,,,,,,,,,,,,,,
비수도권,대전광역시 서구,노인인구 비율,4.68,4.885,5.082,5.3,5.553,5.773,6.09,6.523,6.82,7.098,7.343,7.658,8.091,8.517,9.019,9.573,9.996,10.631,11.188,11.887,12.77,13.594,,,,,,,,,,,,,,,,,,,,,
